CODE,ACT,LAW,PUNISH_BASIS,ENFORCEMENT,SCORE,PUNISH,ENFORCEMENT_BASIS,BELONG
10010,驾驶拼装的摩托车、拖拉机上道路行驶的,《法》第十六条,《法》第一百条第二款,扣留驾驶证,####,罚款500，吊销机动车驾驶证,《法》第一百一十条第一款,江永县地方性法规
10011,驾驶拼装的摩托车、拖拉机、营运载客汽车以外的机动车上道路行驶的,《法》第十六条,《法》第一百条第二款,扣留驾驶证,####,罚款1500，吊销机动车驾驶证,《法》第一百一十条第一款,江永县地方性法规
10012,驾驶拼装的营运载客汽车上道路行驶的,《法》第十六条,《法》第一百条第二款,扣留驾驶证,####,罚款2000，吊销机动车驾驶证,《法》第一百一十条第一款,江永县地方性法规
10020,驾驶已达报废标准的摩托车、拖拉机上道路行驶的,《法》第十四条第三款,《法》第一百条第二款,扣留驾驶证,####,罚款500，吊销机动车驾驶证,《法》第一百一十条第一款,江永县地方性法规
10021,驾驶已达报废标准的摩托车、拖拉机、营运载客汽车以外的机动车上道路行驶的,《法》第十四条第三款,《法》第一百条第二款,扣留驾驶证,####,罚款1500，吊销机动车驾驶证,《法》第一百一十条第一款,江永县地方性法规
10023,驾驶已达报废标准的营运载客汽车上道路行驶的,《法》第十四条第三款,《法》第一百条第二款,扣留驾驶证,####,罚款2000，吊销机动车驾驶证,《法》第一百一十条第一款,江永县地方性法规
10030,造成交通事故后逃逸，构成犯罪的,《法》第七十条第一款,《法》第一百零一条,扣留驾驶证,####,吊销机动车驾驶证,《法》第一百一十条第一款,江永县地方性法规
10040,违反道路交通安全法律、法规的规定，发生重大事故，构成犯罪的,《法》第一百零一条第一款,《法》第一百零一条第一款,扣留驾驶证,####,吊销机动车驾驶证,《法》第一百一十条第一款,江永县地方性法规
10050,无有效机动车驾驶证(未取得机动车驾驶证、驾驶证被注销后)驾驶摩托车、拖拉机、营运载客汽车以外的机动车的,《法》第十九条第一款,《法》第九十九条第一款第一项、第二款,可以拖移机动车,####,罚款1000，处10日拘留,《条例》第一百零四条,江永县地方性法规
10051,无有效机动车驾驶证(未取得机动车驾驶证、驾驶证被注销后)驾驶营运载客汽车的,《法》第十九条第一款,《法》第九十九条第一款第一项、第二款,可以拖移机动车,####,罚款2000，处15日拘留,《条例》第一百零四条,江永县地方性法规
10052,无有效机动车驾驶证(未取得机动车驾驶证、驾驶证被注销后)驾驶摩托车、拖拉机的,《法》第十九条第一款,《法》第九十九条第一款第一项、第二款,可以拖移机动车,####,罚款500,《条例》第一百零四条,江永县地方性法规
10060,驾驶证被吊销期间驾驶摩托车、拖拉机、营运载客以外的机动车的,《法》第十九条第一款,《法》第九十九条第一款第一项、第二款,可以拖移机动车,####,罚款800，处10日拘留,《条例》第一百零四条,江永县地方性法规
10061,驾驶证被吊销期间驾驶营运载客汽车的,《法》第十九条第一款,《法》第九十九条第一款第一项、第二款,可以拖移机动车,####,罚款1500，处15日拘留,《条例》第一百零四条,江永县地方性法规
10062,驾驶证被吊销期间驾驶摩托车、拖拉机的,《法》第十九条第一款,《法》第九十九条第一款第一项、第二款,可以拖移机动车,####,罚款400，处5日拘留,《条例》第一百零四条,江永县地方性法规
10070,把机动车交给未取得机动车驾驶证的人驾驶的(《办法》对车辆类型有具体规定的除外),《法》第二十二条第三款,《法》第九十九条第一款第二项,扣留驾驶证,####,罚款1000，可以吊销机动车驾驶证,《法》第一百一十条第一款,江永县地方性法规
10071,把营运载客汽车交给未取得机动车驾驶证的人驾驶的,《法》第二十二条第三款,《法》第九十九条第一款第二项,扣留驾驶证,####,罚款2000，可以吊销机动车驾驶证,《法》第一百一十条第一款,江永县地方性法规
10072,把摩托车交给未取得机动车驾驶证的人驾驶的,《法》第二十二条第三款,《法》第九十九条第一款第二项,扣留驾驶证,####,罚款500，可以吊销机动车驾驶证,《法》第一百一十条第一款,江永县地方性法规
10073,明知他人未取得机动车驾驶证，将机动车（不含摩托车）交由未取得机动车驾驶证的人驾驶的,《法》第二十二条第三款,《法》第九十九条第一款第二项、第二款,####,####,罚款2000，吊销机动车驾驶证,####,江永县地方性法规
