CODE,SCORE,PUNISH,OTHER_PENALTIES,ACT,BELONG
1001A,####,罚款1000元,驾照吊销,驾驶拼装的机动车上道路行驶的A:驾驶拼装的非汽车类机动车上道路行驶的。,全国性法规
10052,####,罚款200元,拘留15日以下,未取得驾驶证驾驶机动车的,全国性法规
1001B,####,罚款1500元,驾照吊销,驾驶拼装的机动车上道路行驶的。B：驾驶拼装的汽车上道路行驶的。,全国性法规
1010A,####,罚款1000元,####,驾驶人在驾驶证超过有效期仍驾驶机动车的。A驾驶人在驾驶证超过有效期仍驾驶非汽车类机动车的。,全国性法规
1002A,####,罚款1000元,驾照吊销,驾驶已达报废标准的车辆上道路行驶的。A:驾驶已达报废标准的非汽车类机动车上道路行驶的。,全国性法规
10053,####,罚款500元,拘留15日以下,未取得驾驶证驾驶机动车的,全国性法规
1010B,####,罚款1500元,####,驾驶人在驾驶证超过有效期仍驾驶机动车的。B：驾驶人在驾驶证超过有效期仍驾驶汽车的。,全国性法规
1002B,####,罚款1500元,驾照吊销,驾驶已达报废标准的车辆上道路行驶的。B:驾驶已达报废标准的汽车上道路行驶的。,全国性法规
1011,####,罚款1000元,####,非法安装警报器的。,全国性法规
1006A,####,罚款1000元,可以并处拘留15天以下,驾驶证被吊销期间驾驶机动车的。 A:驾驶证被吊销期间驾驶非汽车类机动车的。,全国性法规
1003,####,####,驾照吊销(终生),造成交通事故后逃逸，构成犯罪的。,全国性法规
1012,####,罚款1000元,####,非法安装标志灯具的。,全国性法规
1006B,####,罚款1500元,可以并处拘留15天以下,驾驶证被吊销期间驾驶机动车的。 B:驾驶证被吊销期间驾驶汽车的。,全国性法规
1004,####,####,驾照吊销,违反道路交通安全法律、法规的规定，发生重大事故，构成犯罪的。,全国性法规
1013,####,罚款200元,####,驾驶证丢失期间仍驾驶机动车的。,全国性法规
10061,####,罚款1800元,拘留15日以下,驾驶证被吊销期间驾驶机动车的,全国性法规
10043,####,####,驾照吊销,违反道路交通安全法律、法规的规定，发生重大事故，构成犯罪的,全国性法规
1014,####,罚款200元,####,驾驶证损毁期间仍驾驶机动车的。,全国性法规
10062,####,罚款500元,拘留15日以下,驾驶证被吊销期间驾驶机动车的,全国性法规
1005A,####,罚款1000元,可以并处拘留15天以下,未取得驾驶证驾驶机动车的。A:未取得驾驶证驾驶非汽车类机动车的。,全国性法规
1015,####,罚款200元,####,驾驶证被依法扣留期间仍驾驶机动车的。,全国性法规
10063,####,罚款200元,拘留15日以下,驾驶证被吊销期间驾驶机动车的,全国性法规
1005B,####,罚款1500元,可以并处拘留15天以下,未取得驾驶证驾驶机动车的。 B:未取得驾驶证驾驶汽车的。,全国性法规
1016,####,罚款200元,####,违法记分达到12分仍驾驶机动车的,全国性法规
1007,####,罚款1500元,可以并处吊销驾照,把机动车交给未取得机动车驾驶证的人驾驶的。,全国性法规
10051,####,罚款1800元,拘留15日以下,未取得驾驶证驾驶机动车的,全国性法规
10161,####,罚款200元,####,违法记分达到12分仍驾驶机动车的,全国性法规
1008,####,罚款1500元,可以并处吊销驾照,把机动车交给机动车驾驶证被吊销的人驾驶的。,全国性法规
10162,####,罚款200元,####,驾驶证被公告停止使用仍驾车的,全国性法规
1009,####,罚款1500元,可以并处吊销驾照,把机动车交给机动车驾驶证被暂扣的人驾驶的。,全国性法规
1017,####,罚款150元,####,不按规定投保机动车第三者责任险的,全国性法规
1025,####,罚款100元,####,遇前方机动车停车排队等候或者缓慢行驶时，在人行横道、网状线区域内停车等候的,全国性法规
1018,####,####,####,机动车不在机动车道内行驶的,全国性法规
10263,####,罚款100元,####,通过无管理人员的铁路道口未减速的,全国性法规
10251,####,罚款200元,####,遇前方道路受阻时，在人行横道区域内停车等候的,全国性法规
10180,####,####,####,机动车不在机动车道内行驶的,全国性法规
10264,####,罚款100元,####,通过无管理人员的铁路道口未停车确认安全的,全国性法规
10252,####,罚款200元,####,遇前方机动车停车排队等候时，在人行横道区域内停车等候的,全国性法规
1019,####,罚款150元,####,机动车违反规定使用专用车道的,全国性法规
10265,####,罚款200元,####,通过铁路道口违反交通信号指挥的,全国性法规
