ACT,PUNISH,SCORE,BELONG
非机动车不按规定载物的,罚款50元,####,上海市地方法规
非机动车逆向行驶的,罚款50元,####,上海市地方法规
非机动车不按非机动车信号灯表示通行的,罚款50元,####,上海市地方法规
非机动车违反禁令标志指示的,罚款50元,####,上海市地方法规
驾驶电动自行车搭载1名12周岁以上人员的,罚款30元,####,上海市地方法规
驾驶非机动车时手中持物（打电话）的,罚款50元,####,上海市地方法规
非机车未在非机动车道内行驶的,罚款50元,####,上海市地方法规
非机车不按信号灯表示通行的,罚款50元,####,上海市地方法规
非机动车借道行驶后不迅速驶回非机动车道的,罚款30元,####,上海市地方法规
驾驶未经注册登记的电动自行车上道路行驶的,####,####,上海市地方法规
行人不在人行道内行走的,####,####,上海市地方法规
机动车违反禁令标志指示的,罚款200元,记3分,上海市地方法规
非机动车未在非机动车道内行驶的,罚款50元,####,上海市地方法规
非机动车车未在非机动车道内行驶的,罚款50元,####,上海市地方法规
驾驶非机动车时手中持物的,罚款50元,####,上海市地方法规
在未设置非机动车信号灯的路口，非机动车不按机动车信号灯表示通行的,罚款50元,####,上海市地方法规
在未设置非机动信号灯的路口，非机动车不按机动车信号灯表示通行的,罚款50元,####,上海市地方法规
驾驶非机动车手中持物的,####,####,上海市地方法规
驾驶非机动车搭载1名12周岁以上人员的,####,####,上海市地方法规
非机车逆向行驶的,####,####,上海市地方法规
非机动车不在非机动车道内行驶的,####,####,上海市地方法规
非机动车不按交通信号表示通行的,####,####,上海市地方法规
非机动车未按规定载物的,####,####,上海市地方法规
非机动车不按照交通信号灯表示通行的,罚款50元,####,上海市地方法规
驾驶电动自行车遇路口停止信号时，停在停止线以内或路口内的,罚款30元,####,上海市地方法规
非机动车不按车道信号灯表示通行的,罚款50元,####,上海市地方法规
驾驶非机动车违反交通信号灯表示通行的,罚款50元,####,上海市地方法规
非机动车遇停止信号时，停在停止线以内或路口内的,罚款30元,####,上海市地方法规
在城市快速路上行驶时，驾驶人未按规定使用安全带的,罚款100元,记2分,上海市地方法规
机动车不按规定使用转向灯的,罚款100元,记1分,上海市地方法规
普通机动车行驶超速20%以上未达到50%的,罚款200元,记6分,上海市地方法规
遇行人正在通过人行横到时未停车让行的,罚款100元,记3分,上海市地方法规
驾驶电动自行车在未设置非机动车信号灯的路口，非机动车不按机动车信号灯表示通行的,罚款50元,####,上海市地方法规
驾驶非机动车在路段上横过机动车道时未下车推行的,罚款30元,####,上海市地方法规
驾驶电动自行车违反遇停止线未停在停止线或路口内的,罚款30元,####,上海市地方法规
驾驶电动自行车未在非机动车道上行驶的,罚款50元,####,上海市地方法规
驾驶非机动车违反禁令标志指示的,罚款50元,####,上海市地方法规
非机动车逆行行驶的,罚款50元,####,上海市地方法规
电动自行车不按信号灯表示通行的,罚款50元,####,上海市地方法规
驾驶电动自行车逆向行驶的,罚款50元,####,上海市地方法规
非机动车不按机动车信号灯表示通行的,罚款50元,####,上海市地方法规
电动自行车不按车道信号灯表示通行的,罚款50元,####,上海市地方法规
非机动车借道行驶后不迅速回非机动车道的,罚款30元,####,上海市地方法规
非机动车不按信号灯表示通行的,罚款50元,####,上海市地方法规
非机动车违反规定使用其他车辆专用车道的,####,####,上海市地方法规
驾驶电动自行车搭载1名12岁以上人员的,####,####,上海市地方法规
驾驶非机动车逆向行驶的,####,####,上海市地方法规
驾驶非机动车在路段上横过机动车道时不下车推行的,####,####,上海市地方法规
驾驶电动自行车在路段上横过机动车道时未下车推行的,####,####,上海市地方法规
非机动逆向行驶的,####,####,上海市地方法规
驾驶电动车不在非机动车道内行驶的,####,####,上海市地方法规
驾驶非机动车不按非机动车信号灯指示通行的,罚款50元,####,上海市地方法规
驾驶非机动车违法禁令标志指示的,罚款50元,####,上海市地方法规
驾驶自行车在路段上横过机动车道时不下车推行的,罚款30元,####,上海市地方法规
非机动车不按交通信号灯表示通行的,罚款50元,####,上海市地方法规
机动车违反禁止标线指示的,罚款200元,记3分,上海市地方法规
驾驶时接听拨打手持电话的,罚款200元,记2分,上海市地方法规
驾驶时拨打接听手持电话的,罚款200元,记2分,上海市地方法规
在禁止鸣喇叭的区域或者路段鸣喇叭的,罚款100元,记1分,上海市地方法规
机动车不按规定使用灯光的,罚款100元,记1分,上海市地方法规
驾驶机动车违反禁令标志、禁止指示标线指示的,罚款200元,记3分,上海市地方法规
在高速公路的路肩上行驶的,罚款200元,####,上海市地方法规
遇前方机动车缓慢行驶时，未依次交替驶入车道减少后的路口、路段的,罚款200元,####,上海市地方法规
违反禁止标线指示的,罚款200元,记3分,上海市地方法规
机动车行驶时，乘坐人员未按规定使用安全带的,罚款50元,####,上海市地方法规
行人通过路口，应当走人行横道而未走的,罚款20元,####,上海市地方法规
