CODE,ACT,LAW,PUNISH_BASIS,SCORE,PUNISH,OTHER_PENALTIES,ENFORCEMENT,ENFORCEMENT_BASIS,OTHER_MEASURES,OTHER_MEASURES_BASIS,BELONG
10012,驾驶拼装的机动车上道路行驶的,《中华人民共和国道路交通安全法》第八条,《中华人民共和国道路交通安全法》第一百条第一款、第二款、《湖北省实施<中华人民共和国道路交通安全法>办法》第七十五条第三项,####,罚款2000元,并处吊销驾驶证,扣留驾驶证、扣留机动车、收缴,《中华人民共和国道路交通安全法》第一百一十条第一款，《违法处理程序规定》第二十七条第一款第六项，《中华人民共和国道路交通安全法》第一百条第一款,强制报废,《中华人民共和国道路交通安全法》第一百条第一款,武汉市地方法规
10022,驾驶已达到强制报废标准的机动车上道路行驶的,《中华人民共和国道路交通安全法》第十四条第三款、《湖北省实施<中华人民共和国道路交通安全法>办法》第九条,《中华人民共和国道路交通安全法》第一百条第一款、第二款、《湖北省实施<中华人民共和国道路交通安全法>办法》第七十五条第三项,####,罚款2000元,并处吊销驾驶证,扣留驾驶证、扣留机动车、收缴、强制报废,《中华人民共和国道路交通安全法》第一百一十条第一款，《违法处理程序规定》第二十七条第一款第六项，《中华人民共和国道路交通安全法》第一百条第一款,强制报废,《中华人民共和国道路交通安全法》第一百条第一款,武汉市地方法规
10030,造成交通事故后逃逸的，构成犯罪的,《中华人民共和国道路交通安全法》第七十条第一款,《中华人民共和国道路交通安全法》第一百零一条第二款,####,罚款####元,吊销驾驶证、,扣留驾驶证,《中华人民共和国道路交通安全法》第一百一十条第一款,终生禁驾,《中华人民共和国道路交通安全法》第一百零一条第二款,武汉市地方法规
10040,违反道路交通安全法律、法规的规定，发生重大事故，构成犯罪的,《中华人民共和国道路交通安全法》第一百零一条第一款,《中华人民共和国道路交通安全法》第一百零一条第一款,####,罚款####元,吊销驾驶证,扣留驾驶证,《中华人民共和国道路交通安全法》第一百一十条第一款,####,####,武汉市地方法规
10051,未取得机动车驾驶证驾驶机动车的,《中华人民共和国道路交通安全法》第十九条第一款,《中华人民共和国道路交通安全法》第九十九条第一款第一项、第二款、《湖北省实施<中华人民共和国道路交通安全法>办法》第七十五条第一项,####,罚款1000元,可并处拘留15日以下,可拖移机动车,《中华人民共和国道路交通安全法实施条例》第一百零四条第一项,####,####,武汉市地方法规
10062,驾驶证被吊销的人驾驶机动车的,《中华人民共和国道路交通安全法》第十九条第一款,《中华人民共和国道路交通安全法》第九十九条第一款第一项、第二款、《湖北省实施<中华人民共和国道路交通安全法>办法》第七十五条第一项,####,罚款1500元,可并处拘留15日以下,可拖移机动车,《中华人民共和国道路交通安全法实施条例》第一百零四条第一项,####,####,武汉市地方法规
10072,把机动车交给未取得机动车驾驶证的人驾驶的,《中华人民共和国道路交通安全法》第十九条第一款、《中华人民共和国道路交通安全法》第二十二条第三款,《中华人民共和国道路交通安全法》第九十九条第一款第二项、第二款，《湖北省实施<中华人民共和国道路交通安全法>办法》第七十五条第二项,####,罚款2000元,可并处吊销驾驶证,扣留驾驶证,《中华人民共和国道路交通安全法》第一百一十条第一款,####,####,武汉市地方法规
10082,把机动车交给机动车驾驶证被吊销的人驾驶的,《中华人民共和国道路交通安全法》第十九条第一款、《中华人民共和国道路交通安全法》第二十二条第三款,《中华人民共和国道路交通安全法》第九十九条第一款第二项、第二款，《湖北省实施<中华人民共和国道路交通安全法>办法》第七十五条第二项,####,罚款2000元,可并处吊销驾驶证,扣留驾驶证,《中华人民共和国道路交通安全法》第一百一十条第一款,####,####,武汉市地方法规
10092,把机动车交给机动车驾驶证被暂扣的人驾驶的,《中华人民共和国道路交通安全法》第十九条第一款、《中华人民共和国道路交通安全法》第二十二条第三款,《中华人民共和国道路交通安全法》第九十九条第一款第二项、第二款，《湖北省实施<中华人民共和国道路交通安全法>办法》第七十五条第二项,####,罚款1000元,可并处吊销驾驶证,扣留驾驶证,《中华人民共和国道路交通安全法》第一百一十条第一款,####,####,武汉市地方法规
10102,驾驶人在驾驶证超过有效期仍驾驶机动车的,《中华人民共和国道路交通安全法实施条例》第二十八条,《中华人民共和国道路交通安全法》第九十九条第一款第一项,####,罚款1000元,####,可拖移机动车,《中华人民共和国道路交通安全法实施条例》第一百零四条第一项,####,####,武汉市地方法规
